any,Catalunya,nacionalitat,sexe,edat quinquennal,concepte,estat,valor
1991,Catalunya,espanyola,homes,de 0 a 4 anys,població,,143821
1991,Catalunya,espanyola,homes,de 5 a 9 anys,població,,172906
1991,Catalunya,espanyola,homes,de 10 a 14 anys,població,,235146
1991,Catalunya,espanyola,homes,de 15 a 19 anys,població,,262054
1991,Catalunya,espanyola,homes,de 20 a 24 anys,població,,246040
1991,Catalunya,espanyola,homes,de 25 a 29 anys,població,,232504
1991,Catalunya,espanyola,homes,de 30 a 34 anys,població,,217492
1991,Catalunya,espanyola,homes,de 35 a 39 anys,població,,200722
1991,Catalunya,espanyola,homes,de 40 a 44 anys,població,,199194
1991,Catalunya,espanyola,homes,de 45 a 49 anys,població,,181117
1991,Catalunya,espanyola,homes,de 50 a 54 anys,població,,157319
1991,Catalunya,espanyola,homes,de 55 a 59 anys,població,,171835
1991,Catalunya,espanyola,homes,de 60 a 64 anys,població,,157271
1991,Catalunya,espanyola,homes,de 65 a 69 anys,població,,134964
1991,Catalunya,espanyola,homes,de 70 a 74 anys,població,,88808
1991,Catalunya,espanyola,homes,de 75 a 79 anys,població,,65094
1991,Catalunya,espanyola,homes,de 80 a 84 anys,població,,39549
1991,Catalunya,espanyola,homes,85 anys o més,població,,22072
1991,Catalunya,espanyola,homes,total,població,,2927908
1991,Catalunya,espanyola,dones,de 0 a 4 anys,població,,133613
1991,Catalunya,espanyola,dones,de 5 a 9 anys,població,,161513
1991,Catalunya,espanyola,dones,de 10 a 14 anys,població,,218945
1991,Catalunya,espanyola,dones,de 15 a 19 anys,població,,245662
1991,Catalunya,espanyola,dones,de 20 a 24 anys,població,,235280
1991,Catalunya,espanyola,dones,de 25 a 29 anys,població,,228626
1991,Catalunya,espanyola,dones,de 30 a 34 anys,població,,220989
1991,Catalunya,espanyola,dones,de 35 a 39 anys,població,,205173
1991,Catalunya,espanyola,dones,de 40 a 44 anys,població,,203262
1991,Catalunya,espanyola,dones,de 45 a 49 anys,població,,182500
1991,Catalunya,espanyola,dones,de 50 a 54 anys,població,,159988
1991,Catalunya,espanyola,dones,de 55 a 59 anys,població,,183269
1991,Catalunya,espanyola,dones,de 60 a 64 anys,població,,175836
1991,Catalunya,espanyola,dones,de 65 a 69 anys,població,,159869
1991,Catalunya,espanyola,dones,de 70 a 74 anys,població,,124687
1991,Catalunya,espanyola,dones,de 75 a 79 anys,població,,102468
1991,Catalunya,espanyola,dones,de 80 a 84 anys,població,,72233
1991,Catalunya,espanyola,dones,85 anys o més,població,,51339
1991,Catalunya,espanyola,dones,total,població,,3065252
1991,Catalunya,espanyola,total,de 0 a 4 anys,població,,277434
1991,Catalunya,espanyola,total,de 5 a 9 anys,població,,334419
1991,Catalunya,espanyola,total,de 10 a 14 anys,població,,454091
1991,Catalunya,espanyola,total,de 15 a 19 anys,població,,507716
1991,Catalunya,espanyola,total,de 20 a 24 anys,població,,481320
1991,Catalunya,espanyola,total,de 25 a 29 anys,població,,461130
1991,Catalunya,espanyola,total,de 30 a 34 anys,població,,438481
1991,Catalunya,espanyola,total,de 35 a 39 anys,població,,405895
1991,Catalunya,espanyola,total,de 40 a 44 anys,població,,402456
1991,Catalunya,espanyola,total,de 45 a 49 anys,població,,363617
1991,Catalunya,espanyola,total,de 50 a 54 anys,població,,317307
1991,Catalunya,espanyola,total,de 55 a 59 anys,població,,355104
1991,Catalunya,espanyola,total,de 60 a 64 anys,població,,333107
1991,Catalunya,espanyola,total,de 65 a 69 anys,població,,294833
1991,Catalunya,espanyola,total,de 70 a 74 anys,població,,213495
1991,Catalunya,espanyola,total,de 75 a 79 anys,població,,167562
1991,Catalunya,espanyola,total,de 80 a 84 anys,població,,111782
1991,Catalunya,espanyola,total,85 anys o més,població,,73411
1991,Catalunya,espanyola,total,total,població,,5993160
1991,Catalunya,resta de la Unió Europea,homes,de 0 a 4 anys,població,,439
1991,Catalunya,resta de la Unió Europea,homes,de 5 a 9 anys,població,,498
1991,Catalunya,resta de la Unió Europea,homes,de 10 a 14 anys,població,,669
1991,Catalunya,resta de la Unió Europea,homes,de 15 a 19 anys,població,,820
1991,Catalunya,resta de la Unió Europea,homes,de 20 a 24 anys,població,,955
1991,Catalunya,resta de la Unió Europea,homes,de 25 a 29 anys,població,,1161
1991,Catalunya,resta de la Unió Europea,homes,de 30 a 34 anys,població,,1121
1991,Catalunya,resta de la Unió Europea,homes,de 35 a 39 anys,població,,1007
1991,Catalunya,resta de la Unió Europea,homes,de 40 a 44 anys,població,,897
1991,Catalunya,resta de la Unió Europea,homes,de 45 a 49 anys,població,,870
1991,Catalunya,resta de la Unió Europea,homes,de 50 a 54 anys,població,,748
1991,Catalunya,resta de la Unió Europea,homes,de 55 a 59 anys,població,,634
1991,Catalunya,resta de la Unió Europea,homes,de 60 a 64 anys,població,,609
1991,Catalunya,resta de la Unió Europea,homes,de 65 a 69 anys,població,,626
1991,Catalunya,resta de la Unió Europea,homes,de 70 a 74 anys,població,,376
1991,Catalunya,resta de la Unió Europea,homes,de 75 a 79 anys,població,,311
1991,Catalunya,resta de la Unió Europea,homes,de 80 a 84 anys,població,,209
1991,Catalunya,resta de la Unió Europea,homes,85 anys o més,població,,122
1991,Catalunya,resta de la Unió Europea,homes,total,població,,12072
1991,Catalunya,resta de la Unió Europea,dones,de 0 a 4 anys,població,,331
1991,Catalunya,resta de la Unió Europea,dones,de 5 a 9 anys,població,,449
1991,Catalunya,resta de la Unió Europea,dones,de 10 a 14 anys,població,,642
1991,Catalunya,resta de la Unió Europea,dones,de 15 a 19 anys,població,,761
1991,Catalunya,resta de la Unió Europea,dones,de 20 a 24 anys,població,,1009
1991,Catalunya,resta de la Unió Europea,dones,de 25 a 29 anys,població,,1455
1991,Catalunya,resta de la Unió Europea,dones,de 30 a 34 anys,població,,1333
1991,Catalunya,resta de la Unió Europea,dones,de 35 a 39 anys,població,,1191
1991,Catalunya,resta de la Unió Europea,dones,de 40 a 44 anys,població,,1039
1991,Catalunya,resta de la Unió Europea,dones,de 45 a 49 anys,població,,871
1991,Catalunya,resta de la Unió Europea,dones,de 50 a 54 anys,població,,640
1991,Catalunya,resta de la Unió Europea,dones,de 55 a 59 anys,població,,593
1991,Catalunya,resta de la Unió Europea,dones,de 60 a 64 anys,població,,668
1991,Catalunya,resta de la Unió Europea,dones,de 65 a 69 anys,població,,645
1991,Catalunya,resta de la Unió Europea,dones,de 70 a 74 anys,població,,482
1991,Catalunya,resta de la Unió Europea,dones,de 75 a 79 anys,població,,399
1991,Catalunya,resta de la Unió Europea,dones,de 80 a 84 anys,població,,230
1991,Catalunya,resta de la Unió Europea,dones,85 anys o més,població,,188
1991,Catalunya,resta de la Unió Europea,dones,total,població,,12926
1991,Catalunya,resta de la Unió Europea,total,de 0 a 4 anys,població,,770
1991,Catalunya,resta de la Unió Europea,total,de 5 a 9 anys,població,,947
1991,Catalunya,resta de la Unió Europea,total,de 10 a 14 anys,població,,1311
1991,Catalunya,resta de la Unió Europea,total,de 15 a 19 anys,població,,1581
1991,Catalunya,resta de la Unió Europea,total,de 20 a 24 anys,població,,1964
1991,Catalunya,resta de la Unió Europea,total,de 25 a 29 anys,població,,2616
1991,Catalunya,resta de la Unió Europea,total,de 30 a 34 anys,població,,2454
1991,Catalunya,resta de la Unió Europea,total,de 35 a 39 anys,població,,2198
1991,Catalunya,resta de la Unió Europea,total,de 40 a 44 anys,població,,1936
1991,Catalunya,resta de la Unió Europea,total,de 45 a 49 anys,població,,1741
1991,Catalunya,resta de la Unió Europea,total,de 50 a 54 anys,població,,1388
1991,Catalunya,resta de la Unió Europea,total,de 55 a 59 anys,població,,1227
1991,Catalunya,resta de la Unió Europea,total,de 60 a 64 anys,població,,1277
1991,Catalunya,resta de la Unió Europea,total,de 65 a 69 anys,població,,1271
1991,Catalunya,resta de la Unió Europea,total,de 70 a 74 anys,població,,858
1991,Catalunya,resta de la Unió Europea,total,de 75 a 79 anys,població,,710
1991,Catalunya,resta de la Unió Europea,total,de 80 a 84 anys,població,,439
1991,Catalunya,resta de la Unió Europea,total,85 anys o més,població,,310
1991,Catalunya,resta de la Unió Europea,total,total,població,,24998
1991,Catalunya,resta d'Europa,homes,de 0 a 4 anys,població,,61
1991,Catalunya,resta d'Europa,homes,de 5 a 9 anys,població,,71
1991,Catalunya,resta d'Europa,homes,de 10 a 14 anys,població,,87
1991,Catalunya,resta d'Europa,homes,de 15 a 19 anys,població,,79
1991,Catalunya,resta d'Europa,homes,de 20 a 24 anys,població,,70
1991,Catalunya,resta d'Europa,homes,de 25 a 29 anys,població,,102
1991,Catalunya,resta d'Europa,homes,de 30 a 34 anys,població,,89
1991,Catalunya,resta d'Europa,homes,de 35 a 39 anys,població,,68
1991,Catalunya,resta d'Europa,homes,de 40 a 44 anys,població,,77
1991,Catalunya,resta d'Europa,homes,de 45 a 49 anys,població,,75
1991,Catalunya,resta d'Europa,homes,de 50 a 54 anys,població,,60
1991,Catalunya,resta d'Europa,homes,de 55 a 59 anys,població,,59
1991,Catalunya,resta d'Europa,homes,de 60 a 64 anys,població,,67
1991,Catalunya,resta d'Europa,homes,de 65 a 69 anys,població,,69
1991,Catalunya,resta d'Europa,homes,de 70 a 74 anys,població,,49
1991,Catalunya,resta d'Europa,homes,de 75 a 79 anys,població,,38
1991,Catalunya,resta d'Europa,homes,de 80 a 84 anys,població,,18
1991,Catalunya,resta d'Europa,homes,85 anys o més,població,,16
1991,Catalunya,resta d'Europa,homes,total,població,,1155
1991,Catalunya,resta d'Europa,dones,de 0 a 4 anys,població,,38
1991,Catalunya,resta d'Europa,dones,de 5 a 9 anys,població,,52
1991,Catalunya,resta d'Europa,dones,de 10 a 14 anys,població,,67
1991,Catalunya,resta d'Europa,dones,de 15 a 19 anys,població,,71
1991,Catalunya,resta d'Europa,dones,de 20 a 24 anys,població,,67
1991,Catalunya,resta d'Europa,dones,de 25 a 29 anys,població,,118
1991,Catalunya,resta d'Europa,dones,de 30 a 34 anys,població,,111
1991,Catalunya,resta d'Europa,dones,de 35 a 39 anys,població,,89
1991,Catalunya,resta d'Europa,dones,de 40 a 44 anys,població,,93
1991,Catalunya,resta d'Europa,dones,de 45 a 49 anys,població,,94
1991,Catalunya,resta d'Europa,dones,de 50 a 54 anys,població,,68
1991,Catalunya,resta d'Europa,dones,de 55 a 59 anys,població,,69
1991,Catalunya,resta d'Europa,dones,de 60 a 64 anys,població,,86
1991,Catalunya,resta d'Europa,dones,de 65 a 69 anys,població,,63
1991,Catalunya,resta d'Europa,dones,de 70 a 74 anys,població,,49
1991,Catalunya,resta d'Europa,dones,de 75 a 79 anys,població,,53
1991,Catalunya,resta d'Europa,dones,de 80 a 84 anys,població,,28
1991,Catalunya,resta d'Europa,dones,85 anys o més,població,,21
1991,Catalunya,resta d'Europa,dones,total,població,,1237
1991,Catalunya,resta d'Europa,total,de 0 a 4 anys,població,,99
1991,Catalunya,resta d'Europa,total,de 5 a 9 anys,població,,123
1991,Catalunya,resta d'Europa,total,de 10 a 14 anys,població,,154
1991,Catalunya,resta d'Europa,total,de 15 a 19 anys,població,,150
