eid,iso3c
2-s2.0-105010206394,CHN
2-s2.0-105010206394,HKG
2-s2.0-85143254100,CHN
2-s2.0-85199920132,CHN
2-s2.0-105010187547,DEU
2-s2.0-85200551272,CHN
2-s2.0-85200551272,HKG
2-s2.0-85200551272,USA
2-s2.0-105010222873,CHE
2-s2.0-105010222873,DEU
2-s2.0-105010185122,USA
2-s2.0-105010184393,USA
2-s2.0-105010192905,GBR
2-s2.0-105010192905,USA
2-s2.0-105010192905,CAN
2-s2.0-85150247028,CAN
2-s2.0-85150247028,USA
2-s2.0-85150247028,DEU
2-s2.0-105010206162,USA
2-s2.0-85198172106,CHN
2-s2.0-105010209556,CHN
2-s2.0-105010209556,HKG
2-s2.0-105010253396,USA
2-s2.0-85147022536,USA
2-s2.0-85147022536,CHN
2-s2.0-105010281720,USA
2-s2.0-105010196394,USA
2-s2.0-85139552987,USA
2-s2.0-85142827922,AUS
2-s2.0-105010200500,USA
2-s2.0-105010200500,CHN
2-s2.0-105010185596,GBR
2-s2.0-85199898470,USA
2-s2.0-85199898470,GBR
2-s2.0-85199911770,USA
2-s2.0-85192853121,DEU
2-s2.0-105010213819,USA
2-s2.0-105010213819,BEL
2-s2.0-105010196037,CAN
2-s2.0-105010196037,GBR
2-s2.0-105010212968,CHN
2-s2.0-105010268760,USA
2-s2.0-105010230285,GBR
2-s2.0-105010230285,HKG
2-s2.0-105010230285,CHN
2-s2.0-105010230285,CAN
2-s2.0-105010207022,DEU
2-s2.0-105010207022,CAN
2-s2.0-85200574019,HKG
2-s2.0-85200574019,CAN
2-s2.0-85177747991,USA
2-s2.0-105010232103,USA
2-s2.0-105010232103,DEU
2-s2.0-105010209564,USA
2-s2.0-105010209564,GBR
2-s2.0-105010209564,KOR
2-s2.0-105010194062,JPN
2-s2.0-105010194062,CHN
2-s2.0-105010194062,USA
2-s2.0-105010197692,USA
2-s2.0-105010217191,CHN
2-s2.0-105010217191,SGP
2-s2.0-85199897126,USA
2-s2.0-85199897126,FRA
2-s2.0-85199897126,GBR
2-s2.0-85200567727,DEU
2-s2.0-85200567727,USA
2-s2.0-105010188776,USA
2-s2.0-85200548095,JPN
2-s2.0-85200548095,CHN
2-s2.0-85200587328,CHN
2-s2.0-105010184171,USA
2-s2.0-85195870437,USA
2-s2.0-85199896166,USA
2-s2.0-105010265467,USA
2-s2.0-105010197459,RUS
2-s2.0-105010198667,HKG
2-s2.0-105010198667,CHN
2-s2.0-85174351024,GBR
2-s2.0-85174351024,USA
2-s2.0-105010207034,DEU
2-s2.0-85200542550,USA
2-s2.0-85200542550,FRA
2-s2.0-85150375106,FRA
2-s2.0-105010276477,DEU
2-s2.0-105010276477,DNK
2-s2.0-105010276477,USA
2-s2.0-105010218291,USA
2-s2.0-85167956753,CHN
2-s2.0-85167956753,HKG
2-s2.0-85190708798,CHE
2-s2.0-85190708798,DEU
2-s2.0-105010221217,CHN
2-s2.0-105010221217,AUS
2-s2.0-105010221217,GBR
2-s2.0-105010221217,USA
2-s2.0-85200573396,USA
2-s2.0-85200573396,CAN
2-s2.0-105010218172,CHN
2-s2.0-105010265350,CAN
2-s2.0-105010222302,KOR
2-s2.0-85148543650,CHN
2-s2.0-105010201979,USA
2-s2.0-85150226331,GBR
2-s2.0-85150226331,USA
2-s2.0-105010245404,USA
2-s2.0-105010222421,CAN
2-s2.0-105010206190,CHN
2-s2.0-85200553329,GBR
2-s2.0-85146203855,USA
2-s2.0-85150381901,GBR
2-s2.0-105010215904,USA
2-s2.0-105010279571,USA
2-s2.0-105010279571,FIN
2-s2.0-105010279571,DNK
2-s2.0-105010279571,GBR
2-s2.0-105010195491,FRA
2-s2.0-105010195491,DEU
2-s2.0-105010280449,DEU
2-s2.0-105010280449,JPN
2-s2.0-85150334704,DNK
2-s2.0-105010224619,CHN
2-s2.0-105010202951,USA
2-s2.0-105010202951,ISR
2-s2.0-85083950774,AUS
2-s2.0-85083950774,CHE
2-s2.0-105010230061,CHN
2-s2.0-105010230061,AUS
2-s2.0-105010222559,CHN
2-s2.0-105010222559,SGP
2-s2.0-85199890710,USA
2-s2.0-85199890710,CAN
2-s2.0-105010202836,USA
2-s2.0-105010182053,CHN
2-s2.0-105010182053,GBR
2-s2.0-105010267343,USA
2-s2.0-105010267347,NLD
2-s2.0-85192856680,USA
2-s2.0-85150343414,GBR
2-s2.0-85150343414,USA
2-s2.0-105010235503,USA
2-s2.0-105010196472,CHN
2-s2.0-105010196472,USA
2-s2.0-105010208268,CHN
2-s2.0-105010281769,USA
2-s2.0-105010281769,GBR
2-s2.0-105010283827,USA
2-s2.0-105010283827,CHN
2-s2.0-105010283827,HKG
2-s2.0-85181800953,GBR
2-s2.0-85181800953,DEU
2-s2.0-85199920286,BEL
2-s2.0-85199920286,CAN
2-s2.0-85190892756,USA
2-s2.0-85190892756,FRA
2-s2.0-105010219156,USA
2-s2.0-105010222687,GBR
2-s2.0-105010189946,CHN
