eid,affiliations,iso3c
2-s2.0-105010206394,"National Key Laboratory for Novel Software Technology, Nanjing University, China",CHN
2-s2.0-105010206394,"Shanghai Artificial Intelligence Laboratory, China",CHN
2-s2.0-105010206394,"The Chinese University of Hong Kong, Hong Kong",HKG
2-s2.0-85143254100,"BNRist, THUIBCS, KLISS, BLBCI, School of Software, Tsinghua University, China",CHN
2-s2.0-85143254100,"Alibaba Group, China",CHN
2-s2.0-85199920132,"AI Lab, Research Center for Industries of the Future, Westlake University, China",CHN
2-s2.0-105010187547,"ISMLL, VWFS DARC, University of Hildesheim, Hildesheim, Germany",DEU
2-s2.0-105010187547,"ISMLL, University of Hildesheim, Hildesheim, Germany",DEU
2-s2.0-105010187547,"Institute of Mathematics, TU Berlin, Berlin, Germany",DEU
2-s2.0-85200551272,"LISMARS, Hubei Luojia Laboratory, Wuhan University, China",CHN
2-s2.0-85200551272,"The University of Hong Kong, Hong Kong",HKG
2-s2.0-85200551272,"The Hong Kong Polytechnic University, Hong Kong",HKG
2-s2.0-85200551272,"Texas A&M University, United States",USA
2-s2.0-105010222873,"Universität Basel, Switzerland",CHE
2-s2.0-105010222873,"Universität des Saarlandes, Germany",DEU
2-s2.0-105010222873,"CISPA Helmholtz Center for Information Security, Germany",DEU
2-s2.0-105010185122,"Department of Computer Science, Vanderbilt University, United States",USA
2-s2.0-105010185122,"Department of Mathematics, Tufts University, United States",USA
2-s2.0-105010185122,"Department of Mathematics, University of California, Irvine, United States",USA
2-s2.0-105010184393,"Rice University, United States",USA
2-s2.0-105010184393,"NVIDIA Inc., United States",USA
2-s2.0-105010192905,"AI Centre, UCL, United Kingdom",GBR
2-s2.0-105010192905,"Cohere, United States",USA
2-s2.0-105010192905,"University of Toronto, Vector Institute, Canada",CAN
2-s2.0-85150247028,"Mila, University of Montreal, Canada",CAN
2-s2.0-85150247028,"Harvard University, United States",USA
2-s2.0-85150247028,"MPI for Intelligent Systems, Tübingen, Germany",DEU
2-s2.0-85150247028,"University of California, Berkeley, United States",USA
2-s2.0-105010206162,"MIT, United States",USA
2-s2.0-105010206162,"Microsoft Research, United States",USA
2-s2.0-85198172106,"CAS, Key Laboratory of Technology in GIPAS, University of Science and Technology of China, China",CHN
2-s2.0-85198172106,"MoE Key Laboratory of Brain-Inspired Intelligent Perception and Cognition, University of Science and Technology of China, China",CHN
2-s2.0-85198172106,"Noah's Ark Lab, Huawei Technologies, China",CHN
2-s2.0-105010209556,"School of Computer Science and Technology, University of Science and Technology of China, China",CHN
2-s2.0-105010209556,"Department of Computer Science, City University of Hong Kong, Hong Kong",HKG
2-s2.0-105010253396,"Stanford University, United States",USA
2-s2.0-85147022536,"University of Illinois at Urbana-Champaign, Champaign, IL, United States",USA
2-s2.0-85147022536,"University of Southern California, Los Angeles, CA, United States",USA
2-s2.0-85147022536,"Shanghai Jiao Tong University, Shanghai, China",CHN
2-s2.0-105010281720,"University of California, Santa Cruz, United States",USA
2-s2.0-105010281720,"Stellar Cyber, Inc., United States",USA
2-s2.0-105010281720,"Washington University, St. Louis, United States",USA
2-s2.0-105010196394,"Department of Electrical and Computer Engineering, University of Michigan, United States",USA
2-s2.0-85139552987,"Department of Physics, Stanford Neurosciences Institute, Stanford University, Stanford, 94305, CA, United States",USA
2-s2.0-85139552987,"Department of Psychology, Stanford University, Stanford, 94305, CA, United States",USA
2-s2.0-85139552987,"Departments of Psychology and Computer Science, Stanford Neurosciences Institute, Stanford University, Stanford, 94305, CA, United States",USA
2-s2.0-85142827922,"Data61, CSIRO, Canberra, Australia",AUS
2-s2.0-85142827922,"Space & Astronomy, CSIRO, Epping, Australia",AUS
2-s2.0-85142827922,"Machine Learning & Artificial Intelligence, Future Science Platform",AUS
2-s2.0-105010200500,"Harvard University, United States",USA
2-s2.0-105010200500,"Harbin Institute of Technology, Shenzhen, China",CHN
2-s2.0-105010185596,"Department of Computing, Imperial College London, United Kingdom",GBR
2-s2.0-105010185596,"Microsoft Research Health Futures, Cambridge, United Kingdom",GBR
2-s2.0-85199898470,"Meta AI, United States",USA
2-s2.0-85199898470,"University of Cambridge, United Kingdom",GBR
2-s2.0-85199898470,"University of Washington, United States",USA
2-s2.0-85199898470,"Allen Institute for AI, United States",USA
2-s2.0-85199898470,"Google Research, United States",USA
2-s2.0-85199898470,"Cornell University, United States",USA
2-s2.0-85199898470,"Stanford University, United States",USA
2-s2.0-85199911770,"Georgia Institute of Technology, United States",USA
2-s2.0-85192853121,"University of Tübingen, Germany",DEU
2-s2.0-85192853121,"Tübingen AI Center, Germany",DEU
2-s2.0-85192853121,"Max-Planck-Institute for Intelligent Systems, Tübingen, Germany",DEU
2-s2.0-85192853121,"ELLIS Institute Tübingen, Germany",DEU
2-s2.0-105010213819,"Pr(Ai)2R Group, United States",USA
2-s2.0-105010213819,"Stanford University, United States",USA
2-s2.0-105010213819,"Confirm Labs, United States",USA
2-s2.0-105010213819,"Ghent University, Belgium",BEL
2-s2.0-105010196037,"University of Toronto, Canada",CAN
2-s2.0-105010196037,"Vector Institute, Canada",CAN
2-s2.0-105010196037,"University of Oxford, United Kingdom",GBR
2-s2.0-105010196037,"Mila - Quebec AI Institute, Canada",CAN
2-s2.0-105010196037,"Université de Montréal, Canada",CAN
2-s2.0-105010212968,"AI Lab, Research Center for Industries of the Future, Westlake University, China",CHN
2-s2.0-105010212968,"DP Technology, China",CHN
2-s2.0-105010212968,"Zhejiang University, China",CHN
2-s2.0-105010268760,"Carney Institute for Brain Science, Brown University, Providence, RI, United States",USA
2-s2.0-105010268760,"Department of Cognitive Sciences, University of California-Irvine, Irvine, CA, United States",USA
2-s2.0-105010230285,"University of Oxford, Oxford, United Kingdom",GBR
2-s2.0-105010230285,"The Hong Kong University of Science and Technology, Hong Kong",HKG
2-s2.0-105010230285,"Queen Mary University of London, London, United Kingdom",GBR
2-s2.0-105010230285,"Microsoft Research Asia, Beijing, China",CHN
2-s2.0-105010230285,"Peking University, Beijing, China",CHN
2-s2.0-105010230285,"University of Alberta, Edmonton, Canada",CAN
2-s2.0-105010207022,"Helmholtz Munich, Germany",DEU
2-s2.0-105010207022,"Technical University of Munich, Germany",DEU
2-s2.0-105010207022,"Université de Montréal, Canada",CAN
2-s2.0-105010207022,"Mila, Canada",CAN
2-s2.0-105010207022,"MPI for Intelligent Systems, Tübingen, Germany",DEU
2-s2.0-85200574019,"Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong",HKG
2-s2.0-85200574019,"Department of Electrical and Computer Engineering, The University of British Columbia, Canada",CAN
2-s2.0-85177747991,"The University of Texas, Austin, United States",USA
2-s2.0-105010232103,"University of California, Berkeley, United States",USA
2-s2.0-105010232103,"Harvard University, United States",USA
2-s2.0-105010232103,"ELLIS Institute, Max Planck Institute for Intelligent Systems, Tübingen AI Center, Germany",DEU
2-s2.0-105010209564,"Tatta Bio, United States",USA
2-s2.0-105010209564,"DOE Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA, United States",USA
2-s2.0-105010209564,"European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, United Kingdom",GBR
2-s2.0-105010209564,"School of Biological Sciences, Seoul National University, Seoul, South Korea",KOR
2-s2.0-105010209564,"Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, United States",USA
2-s2.0-105010194062,"The University of Tokyo, Chiba, Japan",JPN
2-s2.0-105010194062,"RIKEN, Tokyo, Japan",JPN
2-s2.0-105010194062,"Southeast University, Nanjing, China",CHN
2-s2.0-105010194062,"William & Mary, Williamsburg, VA, United States",USA
2-s2.0-105010197692,"Department of Applied Mathematics and Statistics, Stony Brook University, United States",USA
2-s2.0-105010197692,"Department of Computer Science, Stony Brook University, United States",USA
2-s2.0-105010217191,"Tsinghua University, China",CHN
2-s2.0-105010217191,"Nanyang Technological University, Singapore",SGP
2-s2.0-105010217191,"AscendGrace Tech, China",CHN
2-s2.0-105010217191,"Ant Group, China",CHN
2-s2.0-85199897126,"OpenAI, United States",USA
2-s2.0-85199897126,Multi Technologies,USA
2-s2.0-85199897126,"École Polytechnique, France",FRA
2-s2.0-85199897126,"University of Cambridge, United Kingdom",GBR
2-s2.0-85199897126,"DeepMind, United Kingdom",GBR
2-s2.0-85200567727,"Zuse Institute Berlin, Dida Datenschmiede GmbH, Germany",DEU
2-s2.0-85200567727,"Caltech, United States",USA
2-s2.0-105010188776,"University of Virginia, United States",USA
2-s2.0-105010188776,"Virginia Tech, United States",USA
2-s2.0-105010188776,"University of Maryland, College Park, United States",USA
2-s2.0-105010188776,"Merck & Co., Inc., United States",USA
2-s2.0-105010188776,"University of Georgia, United States",USA
2-s2.0-85200548095,"RIKEN AIP, Japan",JPN
2-s2.0-85200548095,"Shanghaitech University, China",CHN
2-s2.0-85200548095,"The University of Tokyo, RIKEN AIP, Japan",JPN
2-s2.0-85200587328,"School of Psychological and Cognitive Sciences, IDG/McGovern Institute for Brain Research, Bejing Key Laboratory of Behavior and Mental Health, Peking-Tsinghua Center for Life Sciences, Center of Quantitative Biology, Academy for Advanced Interdisciplinary Studies, Peking University, China",CHN
2-s2.0-85200587328,"School of Software Engineering, Beijing Jiaotong University, China",CHN
2-s2.0-85200587328,"Institute of Software, Chinese Academy of Sciences, China",CHN
2-s2.0-105010184171,"University of Chicago, United States",USA
2-s2.0-105010184171,"Google, United States",USA
2-s2.0-85195870437,"NVIDIA Inc., United States",USA
2-s2.0-85199896166,"UC Berkeley, United States",USA
2-s2.0-85199896166,"Carnegie Mellon University, United States",USA
2-s2.0-105010265467,"Carnegie Mellon University, United States",USA
2-s2.0-105010197459,"AIRI, Moscow, Russian Federation",RUS
2-s2.0-105010197459,"Skoltech, Moscow, Russian Federation",RUS
2-s2.0-105010198667,"HKUST, Hong Kong",HKG
2-s2.0-105010198667,"HKUST (GZ), China",CHN
2-s2.0-105010198667,"Southeast University, China",CHN
2-s2.0-85174351024,"University of Cambridge, United Kingdom",GBR
2-s2.0-85174351024,"University of California, Los Angeles, United States",USA
2-s2.0-85174351024,"University of Cambridge, Alan Turing Institute, United Kingdom",GBR
2-s2.0-105010207034,"Mercedes-Benz AG, Sindelfingen, Germany",DEU
2-s2.0-105010207034,"University of Tübingen, Tübingen, Germany",DEU
2-s2.0-85200542550,"Washington University in St. Louis, St. Louis, 63130, MO, United States",USA
2-s2.0-85200542550,"ENS, CNRS, PSL University, Paris, 75005, France",FRA
2-s2.0-85200542550,"CNRS, Université Paris Cité, Paris, 75006, France",FRA
2-s2.0-85150375106,"Univ. Bordeaux, Bordeaux INP, CNRS, IMB, UMR 5251, Talence, F-33400, France",FRA
2-s2.0-105010276477,"Max Planck Institute for Software Systems, Germany",DEU
2-s2.0-105010276477,"Aalborg University, Denmark",DNK
2-s2.0-105010276477,United States,USA
2-s2.0-105010218291,"Rochester Institute of Technology, Rochester, 14623, NY, United States",USA
2-s2.0-105010218291,"Google Inc., Los Angeles, 90034, CA, United States",USA
2-s2.0-105010218291,"ComboCurve Inc., Houston, 77005, TX, United States",USA
2-s2.0-105010218291,"Amazon.com Inc., Seattle, 98109, WA, United States",USA
2-s2.0-85167956753,"Tsinghua University, China",CHN
2-s2.0-85167956753,"Hong Kong University of Science and Technology, Hong Kong",HKG
2-s2.0-85190708798,"École Polytechnique Fédérale de Lausanne (EPFL), Switzerland",CHE
2-s2.0-85190708798,"Max Planck Institute for Mathematics in the Sciences, Germany",DEU
2-s2.0-85190708798,"AIDOS Lab, Institute of AI for Health, Helmholtz Munich, Germany",DEU
2-s2.0-85190708798,"Technical University of Munich (TUM), Germany",DEU
2-s2.0-105010221217,"School of Artificial Intelligence, Jilin University, China",CHN
2-s2.0-105010221217,"CSIRO's Data61, Australia",AUS
2-s2.0-105010221217,"University of Oxford, United Kingdom",GBR
2-s2.0-105010221217,"The University of Texas, Austin, United States",USA
2-s2.0-105010221217,"International Center of Future Science, Jilin University, China",CHN
2-s2.0-105010221217,"Engineering Research Center of Knowledge-Driven Human-Machine Intelligence, MOE, China",CHN
2-s2.0-85200573396,"University of Texas, Austin, United States",USA
2-s2.0-85200573396,"Georgia Tech, United States",USA
2-s2.0-85200573396,"University of Waterloo, Canada",CAN
2-s2.0-85200573396,"Purdue University, United States",USA
2-s2.0-105010218172,"Beijing University of Posts and Telecommunications, Beijing, 100876, China",CHN
2-s2.0-105010218172,"Intellifusion, Shenzhen, China",CHN
2-s2.0-105010265350,"University of Western Ontario, Canada",CAN
2-s2.0-105010265350,"Université de Montréal, Canada",CAN
2-s2.0-105010265350,"Mila, Canada",CAN
2-s2.0-105010265350,"Noah's Ark Lab, Canada",CAN
2-s2.0-105010265350,"Vector Institute, Canada",CAN
2-s2.0-105010222302,"Seoul National University, Seoul, South Korea",KOR
2-s2.0-85148543650,"Peking University, China",CHN
2-s2.0-85148543650,"Southwest Jiaotong University, China",CHN
2-s2.0-105010201979,"Carnegie Mellon University, United States",USA
2-s2.0-85150226331,"University of Cambridge, United Kingdom",GBR
2-s2.0-85150226331,"Google Cloud AI, Sunnyvale, United States",USA
2-s2.0-85150226331,"University of Oxford, United Kingdom",GBR
2-s2.0-85150226331,"The Alan Turing Institute, United Kingdom",GBR
2-s2.0-85150226331,"Cambridge University Hospitals NHS Foundation Trust, United Kingdom",GBR
2-s2.0-85150226331,"University of California, Los Angeles, United States",USA
2-s2.0-105010245404,"Department of Cognitive Science, Johns Hopkins University, Baltimore, 21218, MD, United States",USA
2-s2.0-105010245404,"Department of Biomedical Engineering, Johns Hopkins University, Baltimore, 21218, MD, United States",USA
2-s2.0-105010222421,"University of British Columbia, Canada",CAN
2-s2.0-105010206190,"National University of Defense Technology, China",CHN
2-s2.0-105010206190,"Tsinghua University, China",CHN
2-s2.0-105010206190,"Shanghai Artificial Intelligence Laboratory, China",CHN
2-s2.0-105010206190,"Beijing Academy of Artificial Intelligence, China",CHN
2-s2.0-85200553329,"Machine Discovery Ltd., United Kingdom",GBR
2-s2.0-85200553329,"University of Oxford, United Kingdom",GBR
2-s2.0-85146203855,"Stanford University, United States",USA
2-s2.0-85146203855,Facebook AI Research,USA
2-s2.0-85150381901,"Department of Engineering, University of Cambridge, Cambridge, United Kingdom",GBR
2-s2.0-85150381901,"Gatsby Computational Neuroscience Unit, University College London, London, United Kingdom",GBR
2-s2.0-105010215904,"Cornell University, United States",USA
2-s2.0-105010215904,"Carnegie Mellon University, United States",USA
2-s2.0-105010215904,"Harvard University, United States",USA
2-s2.0-105010279571,"Massachusetts General Hospital, Harvard Medical School, United States",USA
2-s2.0-105010279571,"Aalto University, Finland",FIN
2-s2.0-105010279571,"Danish Research Centre for Magnetic Resonance, Copenhagen University Hospital, Denmark",DNK
2-s2.0-105010279571,"Hawkes Institute, University College London, United Kingdom",GBR
2-s2.0-105010279571,"Computer Science and AI Laboratory, Massachusetts Institute of Technology, United States",USA
2-s2.0-105010195491,"ISIR, Sorbonne Université, France",FRA
2-s2.0-105010195491,"LTCI, Télécom Paris, Institut Polytechnique de Paris, France",FRA
2-s2.0-105010195491,"Technical University of Munich, Germany",DEU
2-s2.0-105010195491,"Helmholtz Munich, Germany",DEU
2-s2.0-105010195491,"Munich Center for Machine Learning (MCML), Germany",DEU
